,m,gateway,host,node,owner,value,_time
0,#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
1,Humidity,1,mqtt.angizehco.com,4,toossab,17,2022-10-13T18:00:00Z
2,Humidity,1,mqtt.angizehco.com,4,toossab,16.61,2022-10-13T19:00:00Z
3,Humidity,1,mqtt.angizehco.com,4,toossab,16.68,2022-10-13T20:00:00Z
4,Humidity,1,mqtt.angizehco.com,4,toossab,16.76,2022-10-13T21:00:00Z
5,Humidity,1,mqtt.angizehco.com,4,toossab,17.01,2022-10-13T22:00:00Z
6,Humidity,1,mqtt.angizehco.com,4,toossab,17.18,2022-10-13T23:00:00Z
7,Humidity,1,mqtt.angizehco.com,4,toossab,16.96,2022-10-14T00:00:00Z
8,Humidity,1,mqtt.angizehco.com,4,toossab,16.93,2022-10-14T01:00:00Z
9,Humidity,1,mqtt.angizehco.com,4,toossab,17.43,2022-10-14T02:00:00Z
10,Humidity,1,mqtt.angizehco.com,4,toossab,17.61,2022-10-14T03:00:00Z
11,Humidity,1,mqtt.angizehco.com,4,toossab,16.9,2022-10-14T04:00:00Z
12,Humidity,1,mqtt.angizehco.com,4,toossab,16.73,2022-10-14T05:00:00Z
13,Humidity,1,mqtt.angizehco.com,4,toossab,16.36,2022-10-14T06:00:00Z
14,Humidity,1,mqtt.angizehco.com,4,toossab,15.37,2022-10-14T07:00:00Z
15,Humidity,1,mqtt.angizehco.com,4,toossab,14.96,2022-10-14T08:00:00Z
16,Humidity,1,mqtt.angizehco.com,4,toossab,15.23,2022-10-14T09:00:00Z
17,Humidity,1,mqtt.angizehco.com,4,toossab,15.33,2022-10-14T10:00:00Z
18,Humidity,1,mqtt.angizehco.com,4,toossab,15.68,2022-10-14T11:00:00Z
19,Humidity,1,mqtt.angizehco.com,4,toossab,15.64,2022-10-14T12:00:00Z
20,Humidity,1,mqtt.angizehco.com,4,toossab,16.43,2022-10-14T13:00:00Z
21,Humidity,1,mqtt.angizehco.com,4,toossab,16.52,2022-10-14T14:00:00Z
22,Humidity,1,mqtt.angizehco.com,4,toossab,17.01,2022-10-14T15:00:00Z
23,Humidity,1,mqtt.angizehco.com,4,toossab,16.4,2022-10-14T16:00:00Z
24,Humidity,1,mqtt.angizehco.com,4,toossab,16.34,2022-10-14T17:00:00Z
25,Humidity,1,mqtt.angizehco.com,4,toossab,16.37,2022-10-14T18:00:00Z
26,Humidity,1,mqtt.angizehco.com,4,toossab,15.7,2022-10-14T19:00:00Z
27,Humidity,1,mqtt.angizehco.com,4,toossab,15.74,2022-10-14T20:00:00Z
28,Humidity,1,mqtt.angizehco.com,4,toossab,15.26,2022-10-14T21:00:00Z
29,Humidity,1,mqtt.angizehco.com,4,toossab,15.01,2022-10-14T22:00:00Z
30,Humidity,1,mqtt.angizehco.com,4,toossab,15.13,2022-10-14T23:00:00Z
31,Humidity,1,mqtt.angizehco.com,4,toossab,14.98,2022-10-15T00:00:00Z
