#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
m,gateway,host,node,owner,value,_time
Moist,2,mqtt.angizehco.com,14,toossab,5,2022-06-13T19:00:00Z
Moist,2,mqtt.angizehco.com,14,toossab,8,2022-06-13T20:00:00Z
Moist,2,mqtt.angizehco.com,14,toossab,8,2022-06-13T21:00:00Z
Moist,2,mqtt.angizehco.com,14,toossab,8,2022-06-13T22:00:00Z
Moist,2,mqtt.angizehco.com,14,toossab,8,2022-06-13T23:00:00Z
Moist,2,mqtt.angizehco.com,14,toossab,8,2022-06-14T00:00:00Z
Moist,2,mqtt.angizehco.com,14,toossab,8,2022-06-14T01:00:00Z
Moist,2,mqtt.angizehco.com,14,toossab,5,2022-06-14T04:00:00Z
Moist,2,mqtt.angizehco.com,14,toossab,7,2022-06-14T05:00:00Z
Moist,2,mqtt.angizehco.com,14,toossab,7,2022-06-14T06:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,422,2022-06-14T08:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,423,2022-06-14T09:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,423,2022-06-14T10:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,422,2022-06-14T11:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,423,2022-06-14T12:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,417,2022-06-14T13:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,413,2022-06-14T14:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,416,2022-06-14T15:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,416,2022-06-14T16:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,413,2022-06-14T17:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,426,2022-06-14T18:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,412,2022-06-14T19:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,414,2022-06-14T20:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,413,2022-06-14T21:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,426,2022-06-14T22:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,417,2022-06-14T23:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,427,2022-06-15T00:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,416,2022-06-15T01:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,418,2022-06-15T02:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,422,2022-06-15T03:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,429,2022-06-15T04:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,423,2022-06-15T05:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,430,2022-06-15T06:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,427,2022-06-15T07:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,432,2022-06-15T08:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,426,2022-06-15T09:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,424,2022-06-15T10:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,432,2022-06-15T11:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,424,2022-06-15T12:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,422,2022-06-15T13:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,424,2022-06-15T14:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,424,2022-06-15T15:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,414,2022-06-15T16:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,428,2022-06-15T17:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,432,2022-06-15T18:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,415,2022-06-15T19:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,416,2022-06-15T20:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,415,2022-06-15T21:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,434,2022-06-15T22:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,416,2022-06-15T23:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,413,2022-06-16T00:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,418,2022-06-16T01:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,420,2022-06-16T02:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,420,2022-06-16T03:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,432,2022-06-16T04:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,438,2022-06-16T05:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,433,2022-06-16T06:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,437,2022-06-16T07:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,429,2022-06-16T08:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,437,2022-06-16T09:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,427,2022-06-16T10:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,434,2022-06-16T11:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,421,2022-06-16T12:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,422,2022-06-16T13:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,422,2022-06-16T14:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,424,2022-06-16T15:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,426,2022-06-16T16:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,424,2022-06-16T17:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,429,2022-06-16T18:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,424,2022-06-16T19:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,417,2022-06-16T20:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,423,2022-06-16T21:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,425,2022-06-16T22:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,427,2022-06-16T23:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,427,2022-06-17T00:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,427,2022-06-17T01:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,423,2022-06-17T02:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,430,2022-06-17T03:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,430,2022-06-17T04:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,436,2022-06-17T05:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,434,2022-06-17T06:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,429,2022-06-17T07:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,429,2022-06-17T08:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,430,2022-06-17T09:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,438,2022-06-17T10:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,435,2022-06-17T11:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,428,2022-06-17T12:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,428,2022-06-17T13:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,424,2022-06-17T14:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,425,2022-06-17T15:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,422,2022-06-17T16:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,433,2022-06-17T17:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,430,2022-06-17T18:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,422,2022-06-17T19:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,427,2022-06-17T20:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,430,2022-06-17T21:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,428,2022-06-17T22:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,433,2022-06-17T23:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,428,2022-06-18T00:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,436,2022-06-18T01:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,429,2022-06-18T02:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,435,2022-06-18T03:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,433,2022-06-18T04:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,434,2022-06-18T05:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,439,2022-06-18T06:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,436,2022-06-18T07:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,434,2022-06-18T08:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,435,2022-06-18T09:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,436,2022-06-18T10:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,438,2022-06-18T11:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,438,2022-06-18T12:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,436,2022-06-18T13:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,438,2022-06-18T14:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,438,2022-06-18T15:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,437,2022-06-18T16:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,427,2022-06-18T17:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,432,2022-06-18T18:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,432,2022-06-18T19:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,430,2022-06-18T20:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,433,2022-06-18T21:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,435,2022-06-18T22:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,440,2022-06-18T23:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,439,2022-06-19T00:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,433,2022-06-19T01:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,437,2022-06-19T02:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,437,2022-06-19T03:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,446,2022-06-19T04:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,439,2022-06-19T05:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,440,2022-06-19T06:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,444,2022-06-19T07:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,439,2022-06-19T08:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,444,2022-06-19T09:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,441,2022-06-19T10:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,441,2022-06-19T11:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,440,2022-06-19T12:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,436,2022-06-19T13:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,442,2022-06-19T14:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,442,2022-06-19T15:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,439,2022-06-19T16:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,437,2022-06-19T17:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,437,2022-06-19T18:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,433,2022-06-19T19:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,433,2022-06-19T20:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,446,2022-06-19T21:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,437,2022-06-19T22:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,437,2022-06-19T23:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,444,2022-06-20T00:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,438,2022-06-20T01:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,441,2022-06-20T02:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,446,2022-06-20T03:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,448,2022-06-20T04:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,440,2022-06-20T05:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,450,2022-06-20T06:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,450,2022-06-20T07:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,442,2022-06-20T08:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,450,2022-06-20T09:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,450,2022-06-20T10:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,449,2022-06-20T11:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,444,2022-06-20T12:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,444,2022-06-20T13:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,442,2022-06-20T14:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,445,2022-06-20T15:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,441,2022-06-20T16:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,440,2022-06-20T17:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,442,2022-06-20T18:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,448,2022-06-20T19:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,449,2022-06-20T20:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,442,2022-06-20T21:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,442,2022-06-20T22:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,447,2022-06-20T23:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,444,2022-06-21T00:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,447,2022-06-21T01:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,450,2022-06-21T02:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,448,2022-06-21T03:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,450,2022-06-21T04:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,454,2022-06-21T05:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,452,2022-06-21T06:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,456,2022-06-21T07:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,453,2022-06-21T08:00:00Z
Moist,2,mqtt.angizehco.com,15,toossab,457,2022-06-21T09:00:00Z
