#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
m,gateway,host,node,owner,value,_time
Moisture,2,mqtt.angizehco.com,1,toossab,60,2022-02-09T14:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,0.415,2022-02-19T10:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,0.1925,2022-02-19T11:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,550,2022-02-19T14:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,540.5,2022-02-19T15:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,534.5,2022-02-19T16:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,534,2022-02-19T17:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,531,2022-02-20T04:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,534.6666667,2022-02-20T05:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,537.3333333,2022-02-20T06:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,539,2022-02-20T07:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,539.6666667,2022-02-20T08:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,538,2022-02-20T09:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,539.6666667,2022-02-20T10:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,539.6666667,2022-02-20T11:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,539.5,2022-02-20T12:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,543,2022-02-20T13:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,543,2022-02-20T14:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,541,2022-02-20T15:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,542,2022-02-20T16:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,546,2022-02-20T17:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,551,2022-02-21T04:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,553.6666667,2022-02-21T05:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,553.3333333,2022-02-21T06:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,555,2022-02-21T07:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,554.75,2022-02-21T08:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,555.5,2022-02-21T09:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,555.5,2022-02-21T10:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,556.3333333,2022-02-21T11:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,555,2022-02-21T12:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,555.5,2022-02-21T13:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,555.5,2022-02-21T14:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,556,2022-02-21T15:00:00Z
Moisture,2,mqtt.angizehco.com,1,toossab,556.5,2022-02-21T16:00:00Z
