#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
m,gateway,host,node,owner,value,_time
POT,24,mqtt.angizehco.com,1,security_system,0,2022-10-14T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,36,2022-10-15T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,230,2022-10-15T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,57,2022-10-16T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,59,2022-10-16T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,59,2022-10-16T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,58,2022-10-16T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,56,2022-10-16T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,0,2022-10-17T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,23,2022-10-17T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,16,2022-10-17T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,39,2022-10-17T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,39,2022-10-17T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,36,2022-10-17T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,35,2022-10-17T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,34,2022-10-17T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,33,2022-10-17T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,32,2022-10-17T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,32,2022-10-17T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,31,2022-10-17T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,30,2022-10-17T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,30,2022-10-17T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,29,2022-10-17T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,29,2022-10-17T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,29,2022-10-17T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,28,2022-10-18T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,28,2022-10-18T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,27,2022-10-18T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,27,2022-10-18T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,27,2022-10-18T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,26,2022-10-18T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,27,2022-10-18T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,230,2022-10-18T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,174,2022-10-18T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,161,2022-10-18T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,145,2022-10-18T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,136,2022-10-18T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,127,2022-10-18T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,121,2022-10-18T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,100,2022-10-18T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,100,2022-10-18T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,100,2022-10-18T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,99,2022-10-18T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,99,2022-10-18T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,99,2022-10-18T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,99,2022-10-18T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,99,2022-10-18T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,98,2022-10-18T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,98,2022-10-19T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,98,2022-10-19T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,98,2022-10-19T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,98,2022-10-19T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,98,2022-10-19T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,97,2022-10-19T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,97,2022-10-19T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,97,2022-10-19T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,97,2022-10-19T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,97,2022-10-19T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,96,2022-10-19T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,96,2022-10-19T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,96,2022-10-19T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,95,2022-10-19T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,95,2022-10-19T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,95,2022-10-19T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,94,2022-10-19T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,94,2022-10-19T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,94,2022-10-19T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,94,2022-10-19T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,94,2022-10-19T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-19T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-19T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-19T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,93,2022-10-20T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,371,2022-10-20T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,376,2022-10-20T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,386,2022-10-20T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,386,2022-10-20T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,403,2022-10-20T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,416,2022-10-20T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,409,2022-10-20T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,422,2022-10-20T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,422,2022-10-20T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,416,2022-10-20T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,409,2022-10-20T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,422,2022-10-20T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,435,2022-10-21T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,428,2022-10-21T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,416,2022-10-21T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,409,2022-10-21T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,422,2022-10-21T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,435,2022-10-21T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,449,2022-10-21T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,428,2022-10-21T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,442,2022-10-21T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,435,2022-10-21T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,442,2022-10-21T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,442,2022-10-21T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,428,2022-10-21T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,435,2022-10-21T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,376,2022-10-21T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,376,2022-10-21T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,376,2022-10-21T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,356,2022-10-21T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,361,2022-10-21T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,361,2022-10-21T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,347,2022-10-21T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,356,2022-10-21T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,356,2022-10-21T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,351,2022-10-21T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,338,2022-10-22T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,338,2022-10-22T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,333,2022-10-22T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,333,2022-10-22T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,333,2022-10-22T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,333,2022-10-22T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,338,2022-10-22T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,347,2022-10-22T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,347,2022-10-22T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,356,2022-10-22T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,361,2022-10-22T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,351,2022-10-22T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,338,2022-10-22T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,317,2022-10-22T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-22T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-22T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,306,2022-10-22T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,295,2022-10-22T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,295,2022-10-22T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,292,2022-10-22T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,288,2022-10-22T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,292,2022-10-22T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,282,2022-10-22T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,288,2022-10-22T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,278,2022-10-23T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,282,2022-10-23T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,278,2022-10-23T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,275,2022-10-23T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,269,2022-10-23T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,269,2022-10-23T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,266,2022-10-23T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,266,2022-10-23T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,266,2022-10-23T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,258,2022-10-23T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,261,2022-10-23T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,255,2022-10-23T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,255,2022-10-23T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,261,2022-10-23T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,255,2022-10-23T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,258,2022-10-23T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,255,2022-10-23T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,255,2022-10-23T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,255,2022-10-23T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,252,2022-10-23T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,250,2022-10-23T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,250,2022-10-23T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,247,2022-10-23T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,244,2022-10-23T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,247,2022-10-24T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,244,2022-10-24T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,244,2022-10-24T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,244,2022-10-24T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,239,2022-10-24T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,242,2022-10-24T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,242,2022-10-24T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,244,2022-10-24T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,247,2022-10-24T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,247,2022-10-24T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,247,2022-10-24T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,252,2022-10-24T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,252,2022-10-24T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,247,2022-10-24T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,342,2022-10-24T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,338,2022-10-24T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,329,2022-10-24T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,321,2022-10-24T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,317,2022-10-24T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-24T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-24T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,306,2022-10-24T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,306,2022-10-24T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-24T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,306,2022-10-25T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,317,2022-10-25T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,321,2022-10-25T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,325,2022-10-25T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,325,2022-10-25T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,338,2022-10-25T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,333,2022-10-25T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,338,2022-10-25T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,333,2022-10-25T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,325,2022-10-25T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,325,2022-10-25T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,317,2022-10-25T15:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T16:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T17:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T18:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,313,2022-10-25T19:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,306,2022-10-25T20:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,306,2022-10-25T21:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,302,2022-10-25T22:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,299,2022-10-25T23:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,295,2022-10-26T00:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,295,2022-10-26T01:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,292,2022-10-26T02:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,292,2022-10-26T03:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,295,2022-10-26T04:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,285,2022-10-26T05:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,250,2022-10-26T06:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,247,2022-10-26T07:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,252,2022-10-26T08:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,250,2022-10-26T09:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,250,2022-10-26T10:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,252,2022-10-26T11:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,258,2022-10-26T12:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,258,2022-10-26T13:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,252,2022-10-26T14:00:00Z
POT,24,mqtt.angizehco.com,1,security_system,255,2022-10-26T15:00:00Z
