#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
m,gateway,host,node,owner,value,_time
Temperature,1,mqtt.angizehco.com,4,toossab,30.43,2022-10-13T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.21,2022-10-13T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.09,2022-10-13T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.14,2022-10-13T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.09,2022-10-13T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.03,2022-10-13T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.96,2022-10-14T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.95,2022-10-14T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.83,2022-10-14T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.86,2022-10-14T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.89,2022-10-14T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.87,2022-10-14T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.83,2022-10-14T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.83,2022-10-14T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.8,2022-10-14T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.7,2022-10-14T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.74,2022-10-14T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.71,2022-10-14T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.77,2022-10-14T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.79,2022-10-14T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.84,2022-10-14T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.81,2022-10-14T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.85,2022-10-14T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.77,2022-10-14T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.69,2022-10-14T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.72,2022-10-14T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.66,2022-10-14T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.82,2022-10-14T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.83,2022-10-14T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.87,2022-10-14T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.71,2022-10-15T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.73,2022-10-15T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.72,2022-10-15T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.58,2022-10-15T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.39,2022-10-15T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.33,2022-10-15T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.66,2022-10-15T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.62,2022-10-15T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.77,2022-10-15T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.08,2022-10-15T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.15,2022-10-15T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.76,2022-10-15T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.57,2022-10-15T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.7,2022-10-15T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.83,2022-10-15T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.66,2022-10-15T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.7,2022-10-15T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.7,2022-10-15T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.63,2022-10-15T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.66,2022-10-15T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.16,2022-10-15T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.43,2022-10-15T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.42,2022-10-15T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.37,2022-10-15T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.24,2022-10-16T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.16,2022-10-16T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.99,2022-10-16T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.76,2022-10-16T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.46,2022-10-16T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.56,2022-10-16T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.58,2022-10-16T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.16,2022-10-16T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.48,2022-10-16T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.72,2022-10-16T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.99,2022-10-16T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.14,2022-10-16T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.09,2022-10-16T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.1,2022-10-16T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.35,2022-10-16T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.32,2022-10-16T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.45,2022-10-16T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.28,2022-10-16T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.35,2022-10-16T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.53,2022-10-16T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.97,2022-10-16T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.86,2022-10-16T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.89,2022-10-16T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.8,2022-10-16T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.45,2022-10-17T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.46,2022-10-17T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.51,2022-10-17T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.4,2022-10-17T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.7,2022-10-17T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.01,2022-10-17T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.36,2022-10-17T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.33,2022-10-17T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.69,2022-10-17T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.76,2022-10-17T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.85,2022-10-17T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.02,2022-10-17T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.95,2022-10-17T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.9,2022-10-17T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.11,2022-10-17T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.19,2022-10-17T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.08,2022-10-17T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.01,2022-10-17T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.92,2022-10-17T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.83,2022-10-17T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.87,2022-10-17T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.83,2022-10-17T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.77,2022-10-17T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.78,2022-10-17T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.71,2022-10-18T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.74,2022-10-18T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.54,2022-10-18T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.54,2022-10-18T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.58,2022-10-18T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.72,2022-10-18T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.09,2022-10-18T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.35,2022-10-18T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.07,2022-10-18T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.22,2022-10-18T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.42,2022-10-18T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.31,2022-10-18T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.49,2022-10-18T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.46,2022-10-18T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.55,2022-10-18T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.98,2022-10-18T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.97,2022-10-18T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.87,2022-10-18T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.75,2022-10-18T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.87,2022-10-18T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.08,2022-10-18T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.89,2022-10-18T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.91,2022-10-18T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.81,2022-10-18T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.74,2022-10-19T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.67,2022-10-19T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.59,2022-10-19T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,29.57,2022-10-19T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,28.9,2022-10-19T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,28.62,2022-10-19T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,28.99,2022-10-19T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,28.86,2022-10-19T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.23,2022-10-19T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.8,2022-10-19T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.06,2022-10-19T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.2,2022-10-19T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.23,2022-10-19T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.21,2022-10-19T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.23,2022-10-19T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.28,2022-10-19T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.31,2022-10-19T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.3,2022-10-19T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.28,2022-10-19T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.34,2022-10-19T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.33,2022-10-19T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.3,2022-10-19T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.29,2022-10-19T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.24,2022-10-19T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.2,2022-10-20T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.18,2022-10-20T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.11,2022-10-20T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.09,2022-10-20T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.02,2022-10-20T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.03,2022-10-20T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.96,2022-10-20T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.98,2022-10-20T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.04,2022-10-20T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.03,2022-10-20T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.1,2022-10-20T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.1,2022-10-20T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.12,2022-10-20T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.19,2022-10-20T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.15,2022-10-20T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.19,2022-10-20T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.17,2022-10-20T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.19,2022-10-20T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.23,2022-10-20T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.23,2022-10-20T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.24,2022-10-20T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.24,2022-10-20T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.26,2022-10-20T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.23,2022-10-20T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.2,2022-10-21T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.16,2022-10-21T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.13,2022-10-21T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.1,2022-10-21T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.07,2022-10-21T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.06,2022-10-21T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.04,2022-10-21T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.1,2022-10-21T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.13,2022-10-21T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.16,2022-10-21T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.19,2022-10-21T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.23,2022-10-21T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.3,2022-10-21T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.33,2022-10-21T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.34,2022-10-21T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.37,2022-10-21T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.42,2022-10-21T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.47,2022-10-21T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.53,2022-10-21T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.56,2022-10-21T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.69,2022-10-21T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.44,2022-10-21T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.28,2022-10-21T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.15,2022-10-21T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.05,2022-10-22T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.94,2022-10-22T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.81,2022-10-22T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.71,2022-10-22T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.67,2022-10-22T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.82,2022-10-22T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,28.2,2022-10-22T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,30.79,2022-10-22T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.19,2022-10-23T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.5,2022-10-23T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.59,2022-10-23T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.59,2022-10-23T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.56,2022-10-23T16:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.58,2022-10-23T17:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.55,2022-10-23T18:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,33.56,2022-10-23T19:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.86,2022-10-23T20:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.59,2022-10-23T21:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.39,2022-10-23T22:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.29,2022-10-23T23:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.19,2022-10-24T00:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.99,2022-10-24T01:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.89,2022-10-24T02:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.79,2022-10-24T03:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.69,2022-10-24T04:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.69,2022-10-24T05:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.77,2022-10-24T06:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.84,2022-10-24T07:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,31.9,2022-10-24T08:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32,2022-10-24T09:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.08,2022-10-24T10:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.16,2022-10-24T11:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.21,2022-10-24T12:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.6,2022-10-24T13:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.74,2022-10-24T14:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.82,2022-10-24T15:00:00Z
Temperature,1,mqtt.angizehco.com,4,toossab,32.84,2022-10-24T16:00:00Z
