#datatype measurement,tag,tag,tag,tag,double,datetime:RFC3339
m,gateway,host,node,owner,value,_time
mqtt_consumer,15min,mqtt.angizehco.com,load,dropped,0,2022-10-22T08:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,dropped,0,2022-11-06T07:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,dropped,0,2022-11-21T17:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,dropped,2.21,2022-12-22T09:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,dropped,0.82,2022-12-22T10:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30088.13,2022-10-13T18:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29875.63,2022-10-13T19:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31043.01,2022-10-13T20:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31138.45,2022-10-13T21:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31266.71,2022-10-13T22:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31218.46,2022-10-13T23:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31538.6,2022-10-14T00:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31888.54,2022-10-14T01:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31903.32,2022-10-14T02:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31597.61,2022-10-14T03:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31659.98,2022-10-14T04:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31755.08,2022-10-14T05:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30176.72,2022-10-14T06:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29581.5,2022-10-14T07:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29504.6,2022-10-14T08:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,26841.87,2022-10-14T09:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,26589.79,2022-10-14T10:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,26641.16,2022-10-14T11:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,26633.91,2022-10-14T12:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,26669.08,2022-10-14T13:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,26380.89,2022-10-14T14:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,27669.31,2022-10-14T15:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,28746.56,2022-10-14T16:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29123.75,2022-10-14T17:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29691.6,2022-10-14T18:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29675.22,2022-10-14T19:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30247.07,2022-10-14T20:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30899.32,2022-10-14T21:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30802.57,2022-10-14T22:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31491.66,2022-10-14T23:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31529.21,2022-10-15T00:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31899.98,2022-10-15T01:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31703.76,2022-10-15T02:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31886.13,2022-10-15T03:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32018.56,2022-10-15T04:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31299.98,2022-10-15T05:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30168.6,2022-10-15T06:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,23765.13,2022-10-15T07:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,22360.69,2022-10-15T08:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,21961.76,2022-10-15T09:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,22276.32,2022-10-15T10:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,22930.22,2022-10-15T11:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,22121.58,2022-10-15T12:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,21802.03,2022-10-15T13:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,21873.14,2022-10-15T14:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,21665.66,2022-10-15T15:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,21809.83,2022-10-15T16:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,21701.82,2022-10-15T17:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,23523.34,2022-10-15T18:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,28846.71,2022-10-15T19:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29860.35,2022-10-15T20:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29768.47,2022-10-15T21:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30607.73,2022-10-15T22:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31125.67,2022-10-15T23:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31094.2,2022-10-16T00:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30993.11,2022-10-16T01:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31541.02,2022-10-16T02:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31805.58,2022-10-16T03:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31647.56,2022-10-16T04:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30543.52,2022-10-16T05:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30281.41,2022-10-16T06:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,28776.47,2022-10-16T07:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33147.31,2022-10-16T08:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30069.74,2022-10-16T09:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,28389.86,2022-10-16T10:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,28192.64,2022-10-16T11:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,27488.76,2022-10-16T12:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,27527.55,2022-10-16T13:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,27135.98,2022-10-16T14:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,26908.53,2022-10-16T15:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,27074,2022-10-16T16:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,27092.58,2022-10-16T17:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,27092.35,2022-10-16T18:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,28710.51,2022-10-16T19:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29752.58,2022-10-16T20:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29603.87,2022-10-16T21:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30070.13,2022-10-16T22:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30088.33,2022-10-16T23:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31070.7,2022-10-17T00:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31361.2,2022-10-17T01:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31125.86,2022-10-17T02:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29551.12,2022-10-17T03:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31127.44,2022-10-17T04:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30656.79,2022-10-17T05:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29413.96,2022-10-17T06:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30566.45,2022-10-17T07:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29305.03,2022-10-17T08:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29187.92,2022-10-17T09:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30238.82,2022-10-17T10:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30327.3,2022-10-17T11:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29804.09,2022-10-17T12:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29573.87,2022-10-17T13:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29395.08,2022-10-17T14:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29017.6,2022-10-17T15:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29748.06,2022-10-17T16:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29615.56,2022-10-17T17:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31974.95,2022-10-17T18:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32448,2022-10-17T19:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32787.71,2022-10-17T20:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32633.47,2022-10-17T21:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33451.38,2022-10-17T22:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33403.12,2022-10-17T23:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33413.33,2022-10-18T00:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34299.23,2022-10-18T01:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34311.76,2022-10-18T02:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34406.87,2022-10-18T03:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34895.27,2022-10-18T04:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33681.16,2022-10-18T05:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32967.59,2022-10-18T06:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31882.84,2022-10-18T07:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29800.89,2022-10-18T08:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29393.94,2022-10-18T09:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30307.18,2022-10-18T10:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30686.39,2022-10-18T11:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30031.61,2022-10-18T12:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30007.51,2022-10-18T13:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29563.51,2022-10-18T14:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29745.7,2022-10-18T15:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30750.31,2022-10-18T16:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29835.14,2022-10-18T17:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31760.75,2022-10-18T18:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32991.42,2022-10-18T19:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33796.33,2022-10-18T20:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34113.18,2022-10-18T21:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34161.84,2022-10-18T22:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33414.16,2022-10-18T23:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33691.72,2022-10-19T00:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34553.02,2022-10-19T01:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34635.35,2022-10-19T02:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34456.91,2022-10-19T03:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34966.96,2022-10-19T04:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34316.43,2022-10-19T05:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,35192.11,2022-10-19T06:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,35980.05,2022-10-19T07:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,35492.13,2022-10-19T08:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34830.93,2022-10-19T09:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32114.17,2022-10-19T10:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32810,2022-10-19T11:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33896.93,2022-10-19T12:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33584.11,2022-10-19T13:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33562.92,2022-10-19T14:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33878.44,2022-10-19T15:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33933.82,2022-10-19T16:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33660.99,2022-10-19T17:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33689.09,2022-10-19T18:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33840.92,2022-10-19T19:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33967.69,2022-10-19T20:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34068.58,2022-10-19T21:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32752.14,2022-10-19T22:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33802.1,2022-10-19T23:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33692.57,2022-10-20T00:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33893.62,2022-10-20T01:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33513.37,2022-10-20T02:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32244.1,2022-10-20T03:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33942.2,2022-10-20T04:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34226.52,2022-10-20T05:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33868.14,2022-10-20T06:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31208.84,2022-10-20T07:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33172.15,2022-10-20T08:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34143.83,2022-10-20T09:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34542.88,2022-10-20T10:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33564.24,2022-10-20T11:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33784.42,2022-10-20T12:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33099.04,2022-10-20T13:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33594.58,2022-10-20T14:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33489.32,2022-10-20T15:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33511.92,2022-10-20T16:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33318.3,2022-10-20T17:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33597.6,2022-10-20T18:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32995.95,2022-10-20T19:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34052.24,2022-10-20T20:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34244.69,2022-10-20T21:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,34423.31,2022-10-20T22:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33823.47,2022-10-20T23:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33427.64,2022-10-21T00:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33750.93,2022-10-21T01:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33734.86,2022-10-21T02:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32399.13,2022-10-21T03:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33434.25,2022-10-21T04:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32214.08,2022-10-21T05:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33290.84,2022-10-21T06:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33348.31,2022-10-21T07:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,33205.83,2022-10-21T08:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31851.64,2022-10-21T09:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32651.73,2022-10-21T10:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30052.01,2022-10-21T11:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29666.92,2022-10-21T12:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,32317.26,2022-10-21T13:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,30053.22,2022-10-21T14:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,31416.77,2022-10-21T15:00:00Z
mqtt_consumer,15min,mqtt.angizehco.com,load,received,29361.81,2022-10-21T16:00:00Z
